Date,T,V,P,S,F
1921-10-01,51.8558,9.983,0.5810629921259843,,10.7
1921-11-01,40.397,6.463500000000001,0.9327559055118111,,9.9
1921-12-01,34.7918,3.5595,14.023464566929135,,59.0
1922-01-01,32.0,2.439,5.4966535433070876,,66.2
1922-02-01,32.0,2.069,9.7898031496063,,98.6
1922-03-01,32.0,3.2085000000000004,6.2594488188976385,,104.5
1922-04-01,37.3298,4.940499999999999,0.858228346456693,,205.1
1922-05-01,46.8554,7.45,2.355,,684.8
1922-06-01,56.8328,11.686,0.5703149606299213,,757.8
1922-07-01,65.381,17.42,0.38818897637795274,,265.8
1922-08-01,61.4282,14.9655,0.10582677165354332,,68.7
1922-09-01,60.899,15.8575,0.026417322834645672,,24.0
1922-10-01,46.337,8.2485,1.4915748031496066,,13.2
1922-11-01,35.78,4.3845,4.833149606299213,,28.2
1922-12-01,34.187,2.9145000000000003,9.397007874015749,,84.4
1923-01-01,32.0,3.2095,7.022874015748032,,63.3
1923-02-01,32.0,4.0305,1.2253543307086614,,65.5
1923-03-01,37.0616,5.0714999999999995,0.6340157480314961,,96.7
1923-04-01,37.5242,3.811,7.349409448818898,,221.1
1923-05-01,48.635600000000004,8.113,0.8327165354330709,,506.0
1923-06-01,50.6228,8.025,0.9570866141732284,,304.3
1923-07-01,61.4696,14.515500000000001,0.12783464566929134,,193.6
1923-08-01,64.2758,16.959500000000002,0.2884251968503937,,50.4
1923-09-01,56.4908,11.723,2.6194488188976384,,27.6
1923-10-01,43.827799999999996,7.3305,1.313976377952756,,27.9
1923-11-01,40.0838,6.309,0.5930314960629922,,16.0
1923-12-01,32.0,3.6845,1.869763779527559,,14.2
1924-01-01,32.0,3.9535,2.5996850393700788,,14.0
1924-02-01,38.2856,5.5335,1.2732283464566931,,21.2
1924-03-01,34.016,4.003,4.781653543307087,,25.7
1924-04-01,41.6984,5.998,1.7049212598425199,,94.6
1924-05-01,51.719,10.129,0.3074803149606299,,164.0
1924-06-01,57.5132,13.498999999999999,0.0,,34.9
1924-07-01,61.412,15.887500000000001,0.0009448818897637796,,16.5
1924-08-01,58.3772,14.204,0.03807086614173229,,9.2
1924-09-01,54.914,12.791,0.16555118110236222,,5.9
1924-10-01,42.5462,6.611,4.224370078740158,,9.6
1924-11-01,38.876,5.495,3.0596850393700787,,26.2
1924-12-01,32.0,2.8045,7.262322834645669,,27.3
1925-01-01,32.0,3.4415,2.141968503937008,,27.1
1925-02-01,34.0286,3.567,9.540078740157481,,84.5
1925-03-01,37.2974,4.788,5.046732283464568,,100.7
1925-04-01,39.5042,4.4425,4.060196850393702,,219.1
1925-05-01,47.9228,7.0855,2.0167716535433073,,418.8
1925-06-01,55.0616,10.2955,0.9580314960629922,,313.3
1925-07-01,63.176,15.46,0.8012204724409449,,146.2
1925-08-01,58.4024,13.141,0.6650787401574804,,53.0
1925-09-01,49.8506,9.211500000000001,0.5056692913385826,,12.9
1925-10-01,44.1536,6.797499999999999,2.4955118110236225,,19.8
1925-11-01,37.9904,4.7755,1.645708661417323,,16.4
1925-12-01,36.4766,4.568,2.3552362204724413,,21.3
1926-01-01,32.0,3.8955,5.662519685039371,,16.5
1926-02-01,34.385,3.3575,9.83244094488189,,57.0
1926-03-01,39.345800000000004,4.934,1.1159055118110237,,96.3
