Year,F_Jan,F_Feb,F_Mar,F_Apr,F_May,F_Jun,F_Jul,F_Aug,F_Sep
1922,307.27996928843413,205.0919492251497,356.26041364174324,646.1975636081777,477.46626341169593,232.74204504496694,122.83461106531865,76.78256675502519,83.93021612719133
1923,102.37368418994805,289.977937890941,120.13922984007448,165.74595660730145,99.09530511366546,63.762273854468845,58.543033395559405,63.706884181970054,56.40320468813354
1924,158.85420661479588,768.8918123582162,379.8832867365765,537.0876887436965,417.71765958104646,191.3081770550157,113.93080059846895,82.68857564305739,73.81692838489045
1925,153.12686457781726,618.5601584197132,408.8795648097934,871.2928456327429,319.7619083686219,136.63480507119758,92.86045123305047,74.08053967636488,83.40360596076874
1926,371.13771789552027,1263.4290448304605,778.1926048267339,918.5741233219874,740.6199436484019,376.49106056214094,162.72531416025862,102.78643024664751,92.49427151445093
1927,230.66520451138595,368.47127335114845,1397.029388539364,722.444827434676,437.59148314644233,161.19130149000296,112.86281422270952,86.50200262457071,83.42347547473639
1928,106.31524231804028,186.15006483827833,249.42551873922673,263.1849983871469,345.1146143180269,183.10450611144847,87.24050890912741,74.98086001645243,73.39127621694945
1929,339.34728375008376,434.8743554639876,619.4283382332114,659.245256477767,441.866445367925,214.42415639326242,116.37334452668455,85.07618354064562,73.98132819908824
1930,142.1000555169709,151.75722903966587,282.8717854089618,207.46560763519219,144.2860422848124,94.02254561503327,62.43360217730549,52.44365965984008,61.59323061052436
1931,236.21480966314738,209.26692877817428,549.6582864571274,596.2950524575706,674.0611319516322,323.94129391832246,123.37514803719341,85.0270994901594,78.19366516022313
1932,142.3366751170967,90.39542935010667,264.6137094380022,343.88521082337417,389.41766507520504,287.3471892913255,99.66290182316965,67.03552677760456,76.94320134169033
1933,282.466819310357,321.93306955305343,353.7930725147319,259.00135427437846,153.90107247765366,97.43461295081948,75.78135646273682,65.84775626570013,55.45191768379351
1934,286.8388835744142,240.1984997800465,355.7122895095692,1376.7418889514322,950.6984095321625,404.5382177709538,146.72339201360037,94.8997982659597,86.17880547328696
1935,655.8905294745267,944.0800468134601,598.4819011449678,711.2430033398409,514.6646927282109,274.71309305694456,126.17808775014814,94.74782823903843,90.30025528548555
1936,89.69625381580096,251.45868490163807,504.3640055288318,694.1409769729275,783.3179867824492,322.52932792304546,134.54911852112411,84.54004689492348,75.34685827830339
1937,346.8951444869901,757.5287639422831,1370.881017429605,1490.690376062619,1695.1742582030681,828.0941179652241,307.08073544903567,134.08898957095622,101.35820686080393
1938,146.12594566895763,133.95083293901928,328.6902665312381,360.77222228428735,192.8581352370513,112.94233764276711,79.19151850266309,65.70091239192578,60.26043079233125
1939,682.101593890914,1234.1637911506398,1493.2001950803642,964.5917362142411,488.46564982141575,218.2337954651495,129.16686185572465,102.4775908605938,98.03019936378945
1940,689.818495765415,1110.1642786440027,938.9533946605047,831.3996248254168,1056.0830453949318,448.8706645213991,219.8461520865971,139.24369947365804,107.50600686629596
1941,885.762796497567,1045.6262373455081,484.422657370877,1066.5257451821547,905.0041525658476,630.8071280220823,249.59253833523195,147.94214626532187,118.19814163651193
1942,1011.484923282497,582.1658773665474,1178.307139709444,879.6033378959798,511.3663080453992,313.10759453161063,166.69159577034247,117.67552351855775,107.70810432000769
1943,151.91731925608534,242.74204707093082,392.2865586457389,469.98643477919217,603.3970654574732,281.96088387222375,194.68329526037581,99.45114179759696,91.46357450052113
1944,214.78621931187897,781.7702968097708,395.22192776200404,529.598084128864,625.1882063923699,294.9624300224442,144.30180633984378,104.12254165050197,92.29811676925459
1945,475.50619029581503,258.8974589447795,464.65026812792763,667.7517673936387,558.5493949515776,222.76499729769628,129.75065358003806,103.33819485483963,88.53710810598233
1946,120.96900886915822,359.16686025344455,505.88803807791646,422.0002656680623,217.7418435377024,156.2225167082972,89.11305182592037,71.14570358929865,73.04473919138178
1947,406.04138279395374,147.13829286918903,277.6344956740937,939.7932672212273,835.6085594725162,519.6590288883236,178.94633398975952,106.65617686649605,86.67028107676907
1948,100.4710194528937,142.0589101992343,448.97960094629406,633.2851013804548,500.87375301650866,182.32482048601483,91.86529705974539,84.6670439368238,72.83152751182058
1949,337.07384049995846,569.6344516287127,556.5693842754484,827.8391258693063,695.3951833368994,315.9920480183338,134.24397631632235,94.76933086374311,87.13939213599082
1950,676.8499634023863,764.3856969211581,515.2508887544427,594.5226509838907,534.0115658957807,229.99752306400262,130.30511735736502,99.11828207445222,93.60251860629774
1951,521.5408260992933,830.8891416275227,662.2942742238665,1829.602226142166,1671.9572301379656,810.1282667467779,329.64470634658437,172.77987796230593,126.8227128494172
1952,1260.4508859446748,356.99859670646657,443.6569301407038,741.9262961454922,792.8387501944122,622.2485390193732,258.5358269859408,142.5521550060149,123.18418749142472
1953,327.36279416977226,509.3483502267268,769.5754052942391,1002.9294644087006,553.6311912385338,236.2134941017203,137.3003203786449,98.05406092622542,87.3635592667465
1954,188.9200361282286,156.93271574007812,274.202819668416,343.7291580196102,531.7804190796406,234.20464314361638,109.87567322787007,85.83183748794147,78.46287892880952
1955,1367.4043968555175,753.5815352907982,725.656929433546,910.7763824660019,1056.7569757590936,506.5824617136192,262.69948817427377,141.4559294237604,119.8936508129884
1956,156.12407642220194,650.2819962436695,699.6751356189676,431.85214228196503,619.3444371690948,279.5113425181417,138.61937484813444,104.4784917449013,84.22043351442386
1957,397.2505631762247,1440.5102360867108,850.500624098684,1135.5323403707548,1261.0967812411839,657.4870766767558,266.701465729114,145.17497621392758,104.49414238946483
1958,415.7337702669167,470.0282605597359,425.62103661731254,432.3354523317618,294.4955644904859,155.81047379649843,112.89255044738022,87.51700362974987,84.6699699268944
1959,149.79860757777348,687.1119322680407,753.2356333638506,497.39636125123985,381.7346956126853,213.26563444101694,107.78597194723466,78.38546494345394,67.31238441172411
1960,160.40502671638714,392.27252410034225,354.88701854658257,389.59607108218256,396.0848169771771,223.0396774508331,110.4800829752389,85.74773228498265,76.01922357800896
