Year,F_Jan,F_Feb,F_Mar,F_Apr,F_May,F_Jun,F_Jul,F_Aug,F_Sep
1923,215.2978,330.4979,396.33365,475.09787,397.55832,227.74583,119.160866,59.011787,36.63706
1924,143.701,197.07962,220.42375,144.80019,48.833923,26.13124,73.81358,57.68407,48.437733
1925,328.3255,680.461,482.0298,581.2788,405.0697,207.54198,123.88688,79.95167,151.30817
1926,235.71808,407.6349,456.1478,646.52045,508.67984,202.81322,134.9067,85.1448,87.50223
1927,404.04758,1043.4331,954.0777,785.31396,617.8189,409.8577,160.05821,55.02844,0.0
1928,255.25696,541.68286,1112.3439,895.2901,477.18427,277.08545,202.34805,184.63216,198.60931
1929,151.53757,205.98161,220.89583,377.58383,305.98465,124.49449,118.4118,82.37853,75.68147
1930,444.23013,441.30447,577.39667,687.37665,525.4922,267.59186,150.78607,83.89488,80.78633
1931,144.13852,202.35762,174.26128,255.26631,185.3623,102.350105,99.54863,50.507553,83.10317
1932,238.87541,345.0138,532.7349,782.5919,614.26685,274.51144,186.08229,119.97825,124.36872
1933,222.73239,32.27871,96.97527,368.34235,367.32568,185.00108,118.575294,75.09099,95.748
1934,339.23648,299.1677,273.55783,321.95996,249.48982,90.816635,99.52773,40.389652,46.301075
1935,377.9168,129.67513,488.91898,1137.3635,1032.3344,488.93384,196.05748,9.496094,63.320858
1936,635.42865,879.18243,602.0422,722.1258,543.694,223.02269,158.25253,87.695786,67.05447
1937,109.723206,80.75975,490.97922,688.19586,542.2118,334.01422,216.52686,92.33589,13.112199
1938,393.57626,775.73126,1177.1649,1646.8456,1464.6426,828.4611,387.82367,155.26663,62.77415
1939,137.63191,114.104,231.65273,309.59497,191.85083,64.4452,75.24624,54.018326,61.206257
1940,619.33295,1193.1973,1368.9875,863.81757,488.47043,332.90347,204.80911,180.09885,204.04031
1941,792.7132,1107.8213,945.8082,998.9638,934.5368,541.27625,218.87708,121.58465,95.2963
1942,853.35254,957.08026,633.14825,952.6571,1000.1947,561.1337,256.1068,112.83121,84.81286
1943,862.21606,707.29706,1110.9388,896.7328,602.3811,324.86395,196.20454,161.81987,230.86687
1944,169.54672,268.3941,458.84433,573.36646,500.75748,349.7487,232.42912,143.14015,71.531166
1945,366.45102,434.87106,392.16446,497.0711,508.61636,320.13922,181.21141,114.73459,106.06339
1946,498.65833,349.70993,524.0484,732.1048,614.7862,262.5118,146.73857,68.21318,86.799736
1947,136.93729,382.61383,406.0329,409.3624,260.2174,109.00679,128.06613,112.457184,96.59193
1948,300.57068,205.26915,451.3049,766.7761,843.103,617.04706,316.22018,127.44228,15.702311
1949,41.85161,165.32011,400.64572,634.4186,456.76007,210.72873,133.03885,84.03226,67.69246
1950,208.3354,582.0447,566.7343,737.4904,627.46924,327.24088,215.91313,163.81685,132.82516
1951,769.201,673.8852,696.02606,515.6479,367.621,213.9035,117.359665,107.567535,137.15074
1952,493.07953,760.71436,722.3471,1619.1001,1644.8043,868.8568,404.38928,194.60739,215.64677
1953,1120.768,468.14862,431.59653,707.8136,903.7584,535.60126,260.2902,144.31079,188.26552
1954,334.5518,493.82153,794.62537,843.3122,562.0481,259.8253,153.52843,89.44475,91.80445
1955,285.61948,246.76013,279.70523,415.7216,402.8247,222.19856,123.77591,68.83905,61.639103
1956,1354.4241,887.2764,820.3428,972.7962,903.30756,451.4513,262.55154,182.41801,195.23497
1957,237.64241,551.30774,642.5478,491.6318,400.11362,339.83975,220.58359,137.4988,70.62316
1958,569.8407,1181.6715,841.55304,1104.3451,1084.4432,611.8441,335.01843,180.83974,132.65717
1959,387.2854,376.584,318.7276,352.64047,297.52292,128.67111,124.194176,108.16455,126.57571
1960,165.97652,631.1151,723.8712,563.6997,329.87057,195.61655,110.87233,97.53442,103.73228
1961,281.42444,282.17188,426.42178,492.73596,414.27863,239.3244,141.20192,80.37481,66.08278
1962,271.83734,496.2948,486.30856,703.8373,614.8118,298.8666,203.394,135.73067,116.05195
1963,462.8224,732.8012,752.91406,964.7639,877.474,485.0252,171.12352,11.850075,0.0
1964,146.98839,204.39224,303.44394,379.58185,322.44287,234.70822,204.13338,140.99835,80.94251
1965,1177.7135,619.05566,512.64557,871.89734,862.6803,415.9309,209.65141,76.862,66.40974
1966,190.66936,337.2763,443.74023,572.27277,438.82178,222.37169,123.1531,63.2771,56.618805
1967,667.66046,568.7962,690.6839,958.16736,972.4622,586.3317,282.26743,147.0191,126.978806
1968,453.21255,539.55695,576.1994,533.5272,374.7579,171.70177,137.76457,99.334785,109.19121
1969,1509.6194,736.40814,748.73236,998.99335,1245.1011,754.6024,318.3943,126.47821,118.508415
1970,2143.1465,863.16925,680.8317,372.70343,361.72256,246.2777,179.70558,142.79022,180.80582
1971,451.94705,507.47742,846.5448,1078.202,910.1683,520.8739,283.22055,164.56071,140.16736
1972,271.6962,375.71625,607.89294,613.5641,375.62854,145.781,118.14759,79.29985,82.457634
1973,721.4623,614.7746,653.00494,749.8773,693.0743,345.88004,193.98892,98.76384,109.613976
1974,1298.8108,743.3001,1428.4227,1109.6394,829.18536,485.41043,218.13487,129.30695,186.94145
1975,286.0389,612.3495,698.4034,710.9564,782.1036,722.7923,436.3733,266.16437,96.531105
1976,206.16795,314.399,246.81252,307.94778,256.89716,132.8704,103.84342,88.22981,93.95487
1977,161.79422,71.83752,168.68846,150.50159,113.82181,103.59786,69.9655,55.160793,63.741806
1978,990.7322,746.04364,936.37885,805.1119,688.2393,401.694,173.29974,102.41482,152.21999
1979,334.23953,404.17853,366.61044,636.8318,616.49536,322.47653,183.76717,116.87358,112.48752
1980,1460.8807,1172.2191,759.44867,579.5462,531.0905,328.25385,186.49776,142.14297,169.07085
1981,306.25775,368.5486,375.42194,436.52737,377.20963,211.23409,153.49266,125.02799,135.28705
1982,631.874,882.2538,1193.5687,1365.5121,1152.5264,599.9762,238.07758,86.25129,61.76377
1983,963.76294,1332.9032,1572.3883,1447.3267,1324.2667,890.59515,423.22668,266.31583,207.22263
1984,610.25775,332.68936,622.6543,551.03564,422.38977,236.36452,124.905075,89.235756,113.09175
1985,97.998955,319.60587,332.77692,468.75735,330.13678,119.67964,101.41989,43.20735,21.418356
1986,779.9935,2239.2698,1502.4789,776.6201,335.3199,309.78976,211.5763,233.55544,275.7153
1987,101.9881,283.88367,405.75064,416.2641,230.3821,91.61552,104.32356,90.03343,81.238365
1988,288.54413,188.63692,256.78302,218.97899,169.96902,119.25718,114.36313,68.05065,68.78192
1989,329.15878,379.10626,1097.794,887.1418,405.66837,167.14561,115.55143,82.91127,132.84424
1990,217.97414,207.62245,332.58215,339.5739,221.81425,100.06836,84.273506,67.214966,78.967285
1991,253.06342,53.86142,301.39926,421.2175,278.06262,114.73303,116.81084,62.241886,88.036514
1992,251.62428,291.71304,341.22797,330.96564,252.8556,130.48741,67.386894,45.98878,61.882454
1993,586.26276,514.0202,1088.1238,1006.5943,825.39746,607.3553,246.95628,81.903435,87.95498
1994,163.26836,148.62387,296.3449,294.8344,171.4253,99.62789,126.41773,89.93797,55.210663
1995,1573.5704,831.0911,1902.6697,1722.0029,1308.8224,745.2862,286.76932,139.15901,209.24184
1996,499.19205,1129.0215,875.8222,952.3019,828.98584,512.87726,207.45438,121.1007,76.281075
1997,2061.2715,806.45764,645.5739,498.06976,446.4071,203.96057,153.5373,99.954544,161.3463
1998,971.71295,964.6875,886.2647,922.60815,1017.08954,678.5328,310.86215,198.35976,186.17
1999,615.7392,772.69995,803.8941,762.9672,649.93555,361.9397,223.09686,177.41939,186.54903
2000,509.95645,678.60455,726.08057,662.91394,539.33405,312.50882,196.0008,156.13031,163.81702
2001,222.50908,287.78397,258.0295,309.8307,270.1972,142.70575,98.34187,75.361206,73.810394
2002,504.2353,321.24844,367.28464,386.68356,314.469,144.09618,120.58445,81.48275,122.92046
2003,549.60376,420.92377,469.5117,652.4366,658.48303,375.54855,186.2859,86.6713,63.832413
2004,515.0452,729.9643,780.51544,612.99457,376.9807,158.557,158.8753,128.01192,141.1682
2005,278.51303,312.31216,571.1228,811.2886,839.65173,630.70404,349.19788,157.85094,30.710806
2006,916.5385,739.38934,1268.6885,1392.096,1118.9591,570.86707,271.7178,157.38937,229.56859
2007,260.38022,327.21475,408.31906,344.69604,199.58606,92.877266,102.2782,91.364,103.80087
2008,229.50247,262.33868,298.24948,421.94965,353.82068,176.70734,103.092735,55.50018,55.337265
2009,116.677635,412.2135,672.2539,667.6615,399.58075,197.94853,108.91082,69.08043,89.59648
2010,367.7572,275.68643,436.68073,684.96924,758.306,550.9859,264.369,80.54554,0.0
2011,451.4966,610.9552,1060.0773,961.83264,863.8233,721.3266,404.77368,189.33382,39.17643
2012,72.39493,202.51894,539.2183,693.9024,386.76627,112.115906,144.23004,94.264824,78.23874
2013,371.0944,333.74057,421.32907,342.1571,250.9345,135.90233,75.612076,54.494766,77.03485
2014,116.25526,194.82619,378.0548,301.12747,125.11801,45.32241,59.305878,46.047703,48.18829
2015,223.24652,244.05869,270.65854,163.2294,83.08295,53.592026,39.282955,39.446033,55.213577
2016,716.68463,595.63226,1181.7283,838.6172,374.58887,160.09201,159.96008,113.03626,117.491844
2017,1611.9299,2632.7852,1403.1143,1401.0896,1026.0106,505.34525,262.6285,111.87622,83.318855
2018,298.62888,275.86493,705.8418,695.6963,394.4574,182.18388,158.82169,132.63208,127.53757
2019,557.03406,950.1095,1207.7689,1209.6682,927.9404,495.1449,212.30063,112.249664,96.16759
2020,299.79303,175.08717,262.90842,316.76318,241.08322,102.435394,94.31905,76.68343,103.047
2021,191.0402,268.2856,219.7305,291.3726,225.03548,66.41992,99.30165,85.7546,96.85908
