Year,F_Jan,F_Feb,F_Mar,F_Apr,F_May,F_Jun,F_Jul,F_Aug,F_Sep
1923,0,0,0,438.63037,0,0,0,168.01262,130.86975
1924,0,0,0,318.34607,0,0,0,88.58752,66.91982
1925,0,0,0,622.79504,0,0,0,90.712135,3.4913583
1926,0,0,0,358.59592,0,0,0,132.52296,107.979385
1927,0,0,0,897.0429,0,0,0,98.835266,0
1928,0,0,0,768.59534,0,0,0,173.27306,65.47543
1929,0,0,0,387.57983,0,0,0,93.47792,57.487617
1930,0,0,0,554.1476,0,0,0,80.973625,7.3056107
1931,0,0,0,398.58362,0,0,0,105.661674,68.90802
1932,0,0,0,614.4855,0,0,0,120.19894,38.686405
1933,0,0,0,419.62527,0,0,0,79.94048,35.22491
1934,0,0,0,294.93973,0,0,0,116.07812,103.1184
1935,0,0,0,841.0814,0,0,0,154.40334,28.428131
1936,0,0,0,378.4215,0,0,0,112.08848,80.547226
1937,0,0,0,385.71326,0,0,0,91.40247,55.540504
1938,0,0,0,956.4704,0,0,0,139.0085,0
1939,0,0,0,281.93585,0,0,0,107.06432,95.72095
1940,0,0,0,573.8018,0,0,0,93.11804,16.810858
1941,0,0,0,577.8337,0,0,0,90.37548,12.832621
1942,0,0,0,622.3601,0,0,0,166.6863,89.637276
1943,0,0,0,793.09607,0,0,0,206.47275,97.78079
1944,0,0,0,323.13293,0,0,0,97.173004,75.60902
1945,0,0,0,538.37177,0,0,0,160.15404,100.40038
1946,0,0,0,1036.9545,0,0,0,259.02475,104.570984
1947,0,0,0,467.26886,0,0,0,111.24001,60.373592
1948,0,0,0,474.97342,0,0,0,168.32568,123.36542
1949,0,0,0,597.9813,0,0,0,164.26154,92.1626
1950,0,0,0,357.5543,0,0,0,118.87856,92.75037
1951,0,0,0,703.63965,0,0,0,124.89384,24.725084
1952,0,0,0,1207.5209,0,0,0,254.71957,62.81104
1953,0,0,0,481.29715,0,0,0,151.15439,102.54895
1954,0,0,0,613.6911,0,0,0,169.92165,95.17639
1955,0,0,0,447.17032,0,0,0,93.25298,44.346832
1956,0,0,0,708.9284,0,0,0,137.86055,38.268158
1957,0,0,0,351.81464,0,0,0,107.53239,81.1403
1958,0,0,0,976.76495,0,0,0,196.92082,47.24479
1959,0,0,0,448.64575,0,0,0,107.71531,60.408478
1960,0,0,0,417.70575,0,0,0,78.28974,33.77026
1961,0,0,0,551.86945,0,0,0,110.08744,40.7739
1962,0,0,0,412.02304,0,0,0,153.73483,120.451706
1963,0,0,0,600.68207,0,0,0,150.02083,75.44892
1964,0,0,0,674.3253,0,0,0,164.03972,75.40249
1965,0,0,0,746.8244,0,0,0,187.68742,86.50957
1966,0,0,0,550.773,0,0,0,121.72295,54.189903
1967,0,0,0,783.6517,0,0,0,174.34708,63.43607
1968,0,0,0,470.1232,0,0,0,103.25854,50.716187
1969,0,0,0,833.50415,0,0,0,187.4882,67.54007
1970,0,0,0,467.9348,0,0,0,90.966866,37.2673
1971,0,0,0,642.8767,0,0,0,163.893,82.03688
1972,0,0,0,408.66397,0,0,0,99.829475,60.122387
1973,0,0,0,655.62665,0,0,0,117.3675,26.582909
1974,0,0,0,921.24005,0,0,0,219.08058,84.35086
1975,0,0,0,450.34604,0,0,0,114.380486,67.59009
1976,0,0,0,291.44357,0,0,0,104.089386,90.29542
1977,0,0,0,283.44147,0,0,0,103.87653,91.78474
1978,0,0,0,479.91562,0,0,0,122.45649,70.34313
1979,0,0,0,428.824,0,0,0,108.07717,65.10465
1980,0,0,0,579.5549,0,0,0,105.50078,29.592064
1981,0,0,0,414.54398,0,0,0,106.46459,66.36611
1982,0,0,0,978.8266,0,0,0,114.68955,0
1983,0,0,0,818.7038,0,0,0,247.65924,138.89305
1984,0,0,0,638.1079,0,0,0,229.46393,157.3367
1985,0,0,0,441.73486,0,0,0,110.05416,64.551994
1986,0,0,0,395.70987,0,0,0,117.19079,82.58785
1987,0,0,0,286.57895,0,0,0,179.12361,176.33456
1988,0,0,0,615.2138,0,0,0,190.74818,118.43619
1989,0,0,0,731.71497,0,0,0,134.04016,29.013523
1990,0,0,0,468.2504,0,0,0,192.16035,151.81544
1991,0,0,0,463.05377,0,0,0,150.48062,105.73082
1992,0,0,0,354.32184,0,0,0,111.0758,84.61159
1993,0,0,0,653.9763,0,0,0,169.69653,86.21004
1994,0,0,0,344.38715,0,0,0,98.71834,72.76326
1995,0,0,0,937.2536,0,0,0,195.43175,54.102238
1996,0,0,0,507.11035,0,0,0,127.14518,69.77306
1997,0,0,0,458.54742,0,0,0,137.2643,91.73587
1998,0,0,0,630.0589,0,0,0,245.83124,177.61563
1999,0,0,0,531.126,0,0,0,108.19435,43.115307
2000,0,0,0,689.59924,0,0,0,134.19058,38.291153
