Model,WYT,Excel_R2,Sklearn_R2,MAE,Custom_Loss,Percentage_Bias
MSO,AN,0.7226337041088701,0.49756942474702354,163.91867827583334,87872.13010975694,-17.32823154965843
MSO,BN,0.6711612633685758,0.3932436562589016,137.73613132912283,48320.32400932274,4.478349581570491
MSO,C,0.6658951013522413,-7.553418420442377,140.1557579557639,41380.47513579556,86.2034747875424
MSO,D,0.686553610335562,-0.6743986940040768,136.6667070771717,45729.44020810242,42.4246215031869
MSO,W,0.6577093233159055,0.3145182723386736,266.61314003674073,230566.09236485293,-25.534547964277174
lstm_h2_32_16_a0.1_b0.1,AN,0.9189535396140625,0.895439377619046,76.6225777962963,16540.92471624339,0.12087449772784153
lstm_h2_32_16_a0.1_b0.1,BN,0.9004518460438348,0.8725654534582022,65.27680434502923,13248.197097460006,-0.07645144805257394
lstm_h2_32_16_a0.1_b0.1,C,0.7140910139297569,0.36797627341774586,42.122867479166665,4785.83501539522,2.280656169557288
lstm_h2_32_16_a0.1_b0.1,D,0.8627500109326026,0.8308902900515149,53.07529196464646,8965.234851849933,2.4219767045326797
lstm_h2_32_16_a0.1_b0.1,W,0.924019806035245,0.9089638744517071,101.83129011851852,35122.34404262895,-0.9659141950469874
lstm_h3_16_8_4_a0.1_b0.1,AN,0.7283906693429868,0.5855245384579021,146.2270723611111,58212.415921987376,-10.404476059852898
lstm_h3_16_8_4_a0.1_b0.1,BN,0.7128927163337828,0.6163054595747257,112.83422844152047,33375.98571293819,-5.993153869250038
lstm_h3_16_8_4_a0.1_b0.1,C,0.6532672886649775,-6.228800075061421,91.38929493055556,17800.255822660773,47.21918951237557
lstm_h3_16_8_4_a0.1_b0.1,D,0.6919123909788414,0.4186291258547979,99.07014868313131,23525.950377364497,14.696939505466922
lstm_h3_16_8_4_a0.1_b0.1,W,0.7011620629751522,0.6433858635562004,205.57450453703706,112555.28379928975,-7.725894059901248
lstm_h3_64_32_16_a0.1_b0.1,AN,0.9755231021646483,0.9697451824198381,39.41766800925926,9753.695812926524,-0.621800640807729
lstm_h3_64_32_16_a0.1_b0.1,BN,0.9694928727907417,0.9569331525619428,38.106275333333336,7642.021445153241,-2.0707071169708966
lstm_h3_64_32_16_a0.1_b0.1,C,0.8814423887679627,0.7702126627281844,26.283565569444445,1945.8677960376278,-2.10948030058338
lstm_h3_64_32_16_a0.1_b0.1,D,0.9521464337061766,0.9414021098481048,31.560343333333336,4805.75092260416,-0.25225591898162364
lstm_h3_64_32_16_a0.1_b0.1,W,0.9802317969289114,0.9732913005539116,56.02023162592593,23784.829405609653,0.17134543086976262
