,,MAE,MAE,MAE,Percentage_Bias,Percentage_Bias
,,mean,std,count,mean,std
WYT,Model,,,,,
AN,MSO,163.92,72.87,12,-17.33,22.84
AN,lstm_h2_16_8_a0.1_b0.1,133.78,43.78,12,2.53,17.52
AN,lstm_h2_32_16_a0.1_b0.1,76.62,30.69,12,0.12,6.5
AN,lstm_h2_4_2_a0.1_b0.1,204.92,58.29,12,-6.09,28.15
AN,lstm_h2_8_4_a0.1_b0.1,169.7,53.39,12,-10.83,16.32
AN,lstm_h3_16_8_4_a0.1_b0.1,146.23,37.6,12,-10.4,18.41
AN,lstm_h3_32_16_8_a0.1_b0.1,90.83,30.59,12,-3.9,7.93
AN,lstm_h3_64_32_16_a0.1_b0.1,39.42,12.54,12,-0.62,3.02
AN,lstm_h3_8_4_2_a0.1_b0.1,393.02,86.97,12,-80.69,4.77
BN,MSO,137.74,47.07,19,4.48,30.37
BN,lstm_h2_16_8_a0.1_b0.1,121.21,45.68,19,4.23,16.36
BN,lstm_h2_32_16_a0.1_b0.1,65.28,23.57,19,-0.08,7.78
BN,lstm_h2_4_2_a0.1_b0.1,195.78,68.82,19,5.91,36.51
BN,lstm_h2_8_4_a0.1_b0.1,170.39,44.05,19,19.65,23.01
BN,lstm_h3_16_8_4_a0.1_b0.1,112.83,39.37,19,-5.99,16.1
BN,lstm_h3_32_16_8_a0.1_b0.1,81.19,25.88,19,-5.8,7.6
BN,lstm_h3_64_32_16_a0.1_b0.1,38.11,12.68,19,-2.07,4.19
BN,lstm_h3_8_4_2_a0.1_b0.1,283.62,55.33,19,-76.77,7.22
C,MSO,140.16,46.35,16,86.2,42.64
C,lstm_h2_16_8_a0.1_b0.1,81.98,26.25,16,33.64,30.71
C,lstm_h2_32_16_a0.1_b0.1,42.12,14.46,16,2.28,13.86
C,lstm_h2_4_2_a0.1_b0.1,114.27,55.42,16,49.29,50.92
C,lstm_h2_8_4_a0.1_b0.1,264.76,40.34,16,160.07,71.84
C,lstm_h3_16_8_4_a0.1_b0.1,91.39,39.85,16,47.22,45.65
C,lstm_h3_32_16_8_a0.1_b0.1,45.26,12.26,16,4.73,13.53
C,lstm_h3_64_32_16_a0.1_b0.1,26.28,7.2,16,-2.11,8.31
C,lstm_h3_8_4_2_a0.1_b0.1,147.12,28.68,16,-57.38,13.28
D,MSO,136.67,54.62,22,42.42,41.25
D,lstm_h2_16_8_a0.1_b0.1,100.31,45.71,22,14.64,19.4
D,lstm_h2_32_16_a0.1_b0.1,53.08,23.96,22,2.42,8.61
D,lstm_h2_4_2_a0.1_b0.1,153.14,62.37,22,26.39,40.79
D,lstm_h2_8_4_a0.1_b0.1,181.34,35.97,22,56.73,29.32
D,lstm_h3_16_8_4_a0.1_b0.1,99.07,43.54,22,14.7,18.5
D,lstm_h3_32_16_8_a0.1_b0.1,62.21,32.5,22,-6.68,7.98
D,lstm_h3_64_32_16_a0.1_b0.1,31.56,12.54,22,-0.25,3.87
D,lstm_h3_8_4_2_a0.1_b0.1,206.32,45.26,22,-70.46,6.97
W,MSO,266.61,121.27,30,-25.53,23.28
W,lstm_h2_16_8_a0.1_b0.1,202.92,71.74,30,1.1,8.62
W,lstm_h2_32_16_a0.1_b0.1,101.83,41.37,30,-0.97,4.16
W,lstm_h2_4_2_a0.1_b0.1,283.0,75.72,30,-11.21,25.42
W,lstm_h2_8_4_a0.1_b0.1,301.47,115.58,30,-35.1,14.3
W,lstm_h3_16_8_4_a0.1_b0.1,205.57,77.11,30,-7.73,11.44
W,lstm_h3_32_16_8_a0.1_b0.1,137.08,61.36,30,-2.18,5.85
W,lstm_h3_64_32_16_a0.1_b0.1,56.02,19.04,30,0.17,2.83
W,lstm_h3_8_4_2_a0.1_b0.1,555.38,127.98,30,-83.16,4.06
