Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
1922,,,,,,,,,
1923,,,,,,,,,
1924,,,,,,,,,
1925,,,,,,,,,
1926,,,,,,,,,
1927,,,,,,,,,
1928,,,,,,,,,
1929,,,,,,,,,
1930,,,,,,,,,
1931,,,,,,,,,
1932,,,,,,,,,
1933,,,,,,,,,
1934,,,,,,,,,
1935,,,,,,,,,
1936,,,,,,,,,
1937,,,,,,,,,
1938,,,,,,,,,
1939,,,,,,,,,
1940,,,,,,,,,
1941,,,,,,,,,
1942,,,,,,,,,
1943,,,,,,,,,
1944,,,,,,,,,
1945,,,,,,,,,
1946,,,,,,,,,
1947,,,,,,,,,
1948,,,,,,,,,
1949,,,,,,,,,
1950,,,,,,,,,
1951,,,,,,,,,
1952,,,,,,,,,
1953,,,,,,,,,
1954,,,,,,,,,
1955,,,,,,,,,
1956,,,,,,,,,
1957,,,,,,,,,
1958,,,,,,,,,
1959,,,,,,,,,
1960,,,,,,,,,
1961,,,,,,,,,
1962,,,,,,,,,
1963,,,,,,,,,
1964,,,,,,,,,
1965,,,,,,,,,
1966,,,,,,,,,
1967,,,,,,,,,
1968,,,,,,,,,
1969,,,,,,,,,
1970,,,,,,,,,
1971,,,,,,,,,
1972,,,,,,,,,
1973,,,,,,,,,
1974,,,,,,,,,
1975,,,,,,,,,
1976,,,,,,,,,
1977,,,,,,,,,
1978,,,,,,,,,
1979,,,,,,,,,
1980,,,,,,,,,
1981,,,,,,,,,
1982,,,,,,,,,
1983,,,,,,,,,
1984,,,,,,,,,
1985,,,,,,,,,
1986,,,,,,,,,
1987,,,,,,,,,
1988,,,,,,,,,
1989,,,,,,,,,
1990,,,,,,,,,
1991,,,,,,,,,
1992,,,,,,,,,
1993,,,,,,,,,
1994,,,,,,,,,
1995,,,,,,,,,
1996,,,,,,,,,
1997,,,,,,,,,
1998,,,,,,,,,
1999,420.00,520.00,610.00,678.76,623.01,333.08,138.44,93.26,78.45
2000,390.00,470.00,532.98,560.00,518.54,245.72,122.64,87.61,75.51
2001,350.00,420.00,480.00,424.65,368.21,261.82,120.00,90.00,84.78
2002,540.70,612.56,743.22,691.30,641.82,352.91,182.90,118.19,100.89
2003,746.74,767.44,854.13,800.85,763.21,420.01,195.64,114.60,89.59
2004,572.46,616.60,719.41,645.03,607.02,334.26,162.39,101.61,83.39
2005,546.30,594.45,700.30,622.18,583.95,321.60,157.61,99.90,82.71
2006,717.04,710.10,822.52,766.05,743.71,400.97,183.46,104.92,80.35
2007,460.17,510.35,611.90,534.67,499.35,275.07,136.99,88.83,74.68
2008,362.79,420.05,525.77,446.89,411.57,226.73,118.15,82.02,71.33
2009,440.33,494.57,599.74,518.46,482.65,265.91,133.81,88.03,74.70
2010,425.38,480.02,584.50,503.32,468.00,257.86,130.25,86.13,73.33
2011,724.47,739.75,829.08,776.44,742.40,407.07,189.02,110.26,85.90
2012,355.60,411.72,515.36,438.03,403.42,222.23,115.81,80.39,69.92
2013,753.00,751.00,863.00,770.00,750.00,421.00,193.00,111.00,85.00
2014,249.92,307.02,407.50,334.96,302.26,171.54,101.56,80.85,74.20
2015,510.49,551.83,644.04,569.41,536.55,304.26,158.34,106.43,90.87
2016,463.29,513.77,614.08,530.83,496.84,281.89,149.71,103.27,89.60
2017,633.84,656.62,734.54,676.06,644.40,365.09,183.38,117.44,97.12
2018,517.63,563.03,661.01,585.00,550.00,310.00,165.00,109.72,94.06
2019,421.37,472.21,569.75,500.00,465.00,265.00,140.00,96.47,84.20
2020,420.00,470.00,565.00,485.00,455.00,260.00,135.00,95.00,87.36
2021,300.00,360.00,460.00,385.00,350.00,200.00,115.00,88.88,80.42
