Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
1922,509.547654,566.5675982,651.5527379,660.9955312,614.5079334,322.8708941,142.0050839,88.61698331,74.81597771
1923,596.5304526,663.2840385,762.7766443,773.8313783,719.4080726,377.9868656,166.2461917,103.7444265,87.58750765
1924,316.1706549,351.5511202,404.2837883,410.1429736,381.2977535,200.3390679,88.11313334,54.98620086,46.42277613
1925,431.5705987,479.8646714,551.8443722,559.8421167,520.4686052,273.4613416,120.2737734,75.0557563,63.36674507
1926,364.9802742,405.8226855,466.6960884,473.4597998,440.1615281,231.2669022,101.7158141,63.4748303,53.58940591
1927,521.2777264,579.6103017,666.5518469,676.2120186,628.6542503,330.3035629,145.2741205,90.6569959,76.53828343
1928,513.1724222,570.597989,656.1876874,665.6976539,618.8793573,325.1677002,143.0152652,89.24737777,75.34819599
1929,422.5868747,469.8756412,540.3569873,548.188248,509.6343493,267.768875,117.7701126,73.49336952,62.04768082
1930,446.4979338,496.4624211,570.9317843,579.2061579,538.4707798,282.919931,124.4338504,77.65181458,65.5584992
1931,331.7493227,368.8730887,424.204052,430.3519368,400.085427,210.2103691,92.45472928,57.69553438,48.71016428
1932,518.3042216,576.3040526,662.7496605,672.354728,625.0682416,328.4194248,144.4454388,90.13986463,76.10168899
1933,344.6940215,383.2663389,440.7562897,447.1440621,415.6965676,218.4126765,96.06226828,59.94678634,50.61081142
1934,460.078008,511.5621472,588.2964693,596.822505,554.848175,291.524839,128.2184612,80.01356661,67.55243738
1935,461.1908051,512.7994697,589.7193902,598.266048,556.1901941,292.2299542,128.528585,80.20709654,67.71582741
1936,397.3227875,441.7844252,508.052089,515.4151627,479.1661842,251.7604833,110.7293014,69.09961522,58.33819974
1937,331.9152002,369.0575284,424.4161576,430.5671164,400.2854731,210.3154761,92.50095743,57.72438264,48.73451977
1938,607.5549125,675.5421692,776.8734946,788.1325308,732.7034297,384.9724285,169.3185822,105.6617239,89.20620953
1939,393.2380378,437.2425795,502.8289664,510.1163428,474.2400285,249.1722136,109.5909286,68.38922397,57.73844319
1940,345.4419898,384.0980072,441.7127083,448.1143417,416.5986078,218.8866208,96.27071847,60.07686779,50.72063428
1941,636.941637,708.2173583,814.4499621,826.2535847,768.1434425,403.5930972,177.5083251,110.7724586,93.52101014
1942,639.6322466,711.2090553,817.8904136,829.7438979,771.3882831,405.2979809,178.2581671,111.2403907,93.91606756
1943,518.9467383,577.0184689,663.5712392,673.1882137,625.8431085,328.8265505,144.6245008,90.25160667,76.19602858
1944,366.3631058,407.3602602,468.4642992,475.2536369,441.8292053,232.1431226,102.1011934,63.71532275,53.79244462
1945,515.4652176,573.1473553,659.1194586,668.6719145,621.6444392,326.6205121,143.654241,89.6461248,75.68484307
1946,681.24621,757.4797489,871.1017112,883.7263737,821.5741892,431.6663441,189.8555012,118.4776017,100.026172
1947,463.5436448,515.4155994,592.7279393,601.3181993,559.0276886,293.7208127,129.1842945,80.61628606,68.06129069
1948,375.6275806,417.6614581,480.3106768,487.2717011,453.002043,238.0134848,104.6830962,65.32653575,55.15273101
1949,418.9882177,465.8742834,535.7554259,543.5199973,505.2944151,265.4886141,116.7672082,72.86751612,61.5192964
1950,335.3037152,372.8252286,428.7490129,434.9627667,404.3719787,212.4625822,93.44529768,58.3136896,49.23204942
1951,609.0118619,677.1621558,778.7364792,790.0225151,734.4604921,385.8956132,169.7246173,105.9151064,89.42013083
1952,737.5175917,820.0480706,943.0552812,956.7227491,889.4367535,467.3222659,205.5376895,128.263929,108.2883991
1953,573.8363166,638.0503592,733.757913,744.3920857,692.0392357,363.6069034,159.9215964,99.79762028,84.25536794
1954,405.0581144,450.3853589,517.9431627,525.4495853,488.4948892,256.6619128,112.8850483,70.44488946,59.47396406
1955,460.1569027,511.6498705,588.397351,596.9248489,554.943321,291.57483,128.2404483,80.02728743,67.56402136
1956,637.6781386,709.0362767,815.3917182,827.2089895,769.0316539,404.0597756,177.7135796,110.9005458,93.62914936
1957,377.6580828,419.9191797,482.9070567,489.9057097,455.4508026,239.3000967,105.2489739,65.67966657,55.45086604
1958,473.5429546,526.5338625,605.5139419,614.2895063,571.0867278,300.0567973,131.9709873,82.35529645,69.52947159
1959,356.5710428,396.4724354,455.9433007,462.5511746,430.020103,225.9384584,99.37225784,62.01235528,52.35469339
1960,284.5441643,316.3855284,363.8433577,369.1164498,343.1566116,180.2991889,79.29919334,49.48594162,41.77911465
1961,458.9647788,510.3243443,586.8729959,595.3784016,553.5056349,290.81945,127.9082171,79.81996154,67.38898392
1962,409.4325216,455.2492757,523.536667,531.1241549,493.7703682,259.4337218,114.1041454,71.20565594,60.1162505
1963,548.8187709,610.2332734,701.7682645,711.938819,661.8683966,347.7547308,152.9494935,95.44674277,80.58208611
1964,465.8440612,517.9734394,595.6694553,604.3023459,561.8019612,295.1784536,129.8253941,81.01635847,68.39905674
1965,599.4414187,666.5207507,766.4988633,777.6075425,722.9186604,379.8313765,167.0574446,104.2506815,88.01491965
1966,518.7407561,576.7894365,663.307852,672.9210093,625.5946966,328.6960315,144.567096,90.21578366,76.16578457
1967,543.3132493,604.111667,694.7284171,704.7969449,655.2288081,344.2662,151.4151678,94.48926074,79.77372013
1968,450.0855789,500.4515346,575.5192648,583.8601237,542.7974337,285.1932143,125.4336859,78.27575285,66.08526675
1969,565.6775925,628.9786488,723.3254461,733.8084236,682.1999191,358.4371915,157.6478536,98.37871174,83.05743696
1970,571.6407248,635.6090739,730.950435,741.5439195,689.3913801,362.2156838,159.3097102,99.41577822,83.93299309
1971,725.4391952,806.6180646,927.6107742,941.0544087,874.8703623,459.6688842,202.171579,126.1633383,106.5149496
1972,474.2486408,527.3185172,606.4162948,615.2049367,571.9377763,300.5039499,132.167654,82.47802448,69.63308624
1973,489.3852326,544.14894,625.771281,634.84043,590.1923119,310.0951331,136.3860484,85.11047524,71.85556516
1974,651.1924549,724.0628864,832.6723193,844.7400341,785.329746,412.6230167,181.4798645,113.2508617,95.61343243
1975,417.9161335,464.6822297,534.3845641,542.129268,504.0014953,264.8092963,116.4684306,72.68106669,61.36188417
1976,397.2706926,441.7265007,507.9854758,515.3475841,479.1033584,251.7274738,110.7147832,69.09055523,58.33055073
1977,259.8941218,288.9770706,332.3236311,337.1399156,313.4289765,164.6798819,72.42950935,45.1989777,38.15979265
1978,409.6430802,455.4833964,523.8059058,531.3972958,494.0242991,259.5671406,114.1628256,71.24227482,60.14716644
1979,343.7775516,382.2473132,439.5844102,445.9551988,414.5913166,217.8319625,95.80685863,59.78740027,50.47624777
1980,514.1516917,571.6868418,657.4398681,666.9679822,620.0603439,325.7882067,143.2881764,89.41768552,75.4919804
1981,413.2155669,459.4556553,528.3740036,536.0315978,498.3326722,261.8308189,115.1584367,71.86357685,60.67170832
1982,634.2307252,705.2030872,810.9835503,822.7369351,764.8741177,401.8753491,176.7528251,110.3009957,93.12297177
1983,667.4781707,742.1710238,853.4966773,865.8661944,804.9701104,422.9423334,186.0185066,116.0831601,98.00463519
1984,795.5752023,884.6025058,1017.292882,1032.036257,959.453487,504.1100177,221.7176793,138.3609048,116.812895
1985,523.8166518,582.4333405,669.7983416,679.5055639,631.7161616,331.9123332,145.9816898,91.09854813,76.91106933
1986,420.7107154,467.7895339,537.957964,545.7544562,507.3717252,266.5800613,117.2472486,73.16708094,61.77220768
1987,315.2770056,350.5574688,403.1410891,408.9837135,380.2200238,199.7728139,87.86408352,54.83078357,46.29156318
1988,452.8431018,503.5176328,579.0452777,587.4372382,546.1229709,286.9404971,126.2021759,78.75532205,66.49014894
1989,467.1929802,519.4733066,597.3943025,606.052191,563.4287402,296.0331856,130.2013223,81.25095308,68.59711612
1990,389.6704207,433.275735,498.2670953,505.4883575,469.937528,246.9116208,108.5966746,67.76876881,57.21461629
1991,299.8743751,333.4312367,383.4459222,389.0031095,361.644649,190.0130573,83.57154715,52.15206523,44.03002228
1992,372.5555122,414.2456158,476.3824582,483.2865518,449.2971679,236.0668926,103.826946,64.79226299,54.70166466
1993,500.9549998,557.0133996,640.5654095,649.8489662,604.1453026,317.4262258,139.6104098,87.12260865,73.55433354
1994,450.4711177,500.8802164,576.0122488,584.3602524,543.2623885,285.4375079,125.5411311,78.34280307,66.14187472
1995,473.906865,526.9384956,605.97927,614.7615782,571.5255991,300.2873863,132.072405,82.41858522,69.58290391
1996,480.8794116,534.6912916,614.8949854,623.8065069,579.9344009,304.7054861,134.0155737,83.63120203,70.60667056
1997,730.8266852,812.6084311,934.4996958,948.0431697,881.3676061,463.0826252,203.6730106,127.1002931,107.3059851
1998,513.2043195,570.6334558,656.2284741,665.7390317,618.9178251,325.1879116,143.0241546,89.25292513,75.35287941
1999,514.7459434,572.3475921,658.199731,667.7388575,620.7770038,326.1647496,143.4537875,89.52103364,75.57923332
2000,390.1210396,433.7767796,498.8432965,506.0729095,470.4809686,247.1971519,108.7222569,67.84713731,57.28077986
2001,372.4850164,414.1672314,476.2923161,483.1951033,449.212151,236.0222235,103.8072997,64.78000286,54.69131389
2002,537.0597716,597.158406,686.7321669,696.684807,647.6871942,340.3037327,149.6723954,93.4016994,78.8555331
2003,643.5483358,715.563367,822.897872,834.8239281,776.1110365,407.7793803,179.3495362,111.9214497,94.49106
2004,529.9966234,589.3048699,677.7006004,687.5223482,639.1691281,335.8282239,147.703977,92.1733258,77.81846359
2005,501.6160567,557.7484308,641.4106954,650.7065026,604.9425288,317.8450994,139.7946388,87.23757508,73.65139535
2006,626.7895703,696.9292442,801.4686308,813.0841182,755.9001802,397.1603193,174.6790606,109.0068818,92.03040019
2007,451.8357281,502.3975309,577.7571606,586.1304528,544.9080912,286.3021827,125.9214324,78.58012663,66.34223806
2008,378.3590695,420.698609,483.8034003,490.8150438,456.2961836,239.7442714,105.4443308,65.8015773,55.55379067
2009,409.5514982,455.381566,523.6888009,531.2784937,493.9138524,259.5091104,114.1373028,71.22634751,60.13371962
2010,410.6494699,456.6024041,525.0927647,532.7028048,495.2379922,260.2048316,114.4432949,71.41729911,60.29493285
2011,651.7472881,724.6798072,833.3817782,845.459775,785.9988678,412.9745824,181.6344901,113.3473545,95.69489761
2012,341.0619164,379.2277902,436.1119587,442.4324219,411.3162955,216.1112215,95.05004228,59.3151159,50.07751588
2013,647.5110314,719.9695004,827.9649254,839.9644171,780.8899966,410.2903114,180.453894,112.6106142,95.07289556
2014,287.8643704,320.0772757,368.0888671,373.4234883,347.1607375,182.4030116,80.22449667,50.06336877,42.26661461
2015,492.594758,547.7176211,629.8752643,639.0038913,594.0629583,312.1288238,137.2805063,85.66865356,72.32681407
2016,447.6840279,497.7812428,572.4484292,580.7447832,539.9011941,283.6714903,124.7644012,77.85809182,65.73265129
2017,603.1017932,670.5907323,771.1793421,782.3558543,727.333025,382.1507442,168.0775489,104.8872684,88.55236593
2018,463.4479247,515.3091678,592.605543,601.1940291,558.9122513,293.6601604,129.1576183,80.59963907,68.04723627
2019,397.6881653,442.1906898,508.5192933,515.8891381,479.6068251,251.9920021,110.831128,69.16315918,58.3918475
2020,447.8031742,497.9137218,572.6007801,580.8993421,540.0448829,283.7469863,124.7976059,77.8788129,65.75014532
2021,340.5990792,378.7131601,435.5201341,441.8320201,410.7581198,215.8179483,94.92105486,59.23462247,50.00955832
