Date,T,V,P,S,F
10/1/1921,50.71150621,9.680717015,1.173616827,,81.2
11/1/1921,42.72780533,6.427310889,2.666763749,,100
12/1/1921,36.40726515,3.427977748,10.19445134,,194
1/1/1922,32,2.77546346,2.969249008,,192
2/1/1922,32,2.077533244,14.37079999,,422
3/1/1922,32.87472204,3.042296872,6.32267079,,433
4/1/1922,39.50027833,5.523453897,1.023999523,,933
5/1/1922,51.09602268,9.337639265,2.283110018,,1570
6/1/1922,59.10406455,13.15131397,0.613848018,,721
7/1/1922,66.314977,19.10771111,0.057708066,,210
8/1/1922,60.42086603,14.8597059,0.036136002,,119
9/1/1922,60.62759721,16.1836895,0.010646654,,89.4
10/1/1922,48.01999147,7.852379959,2.760983628,,95.2
11/1/1922,37.81828121,4.643403244,5.380320104,,129
12/1/1922,34.10267306,2.500387436,11.38803133,,347
1/1/1923,32,2.720709122,5.187255776,,309
2/1/1923,34.21913771,4.323634627,1.756847979,,206
3/1/1923,40.63273774,6.128804339,0.531419774,,362
4/1/1923,42.05625652,5.102830156,4.994205423,,651
5/1/1923,50.21767975,8.597625511,0.83068077,,482
6/1/1923,52.26749852,8.313235475,2.098952265,,230
7/1/1923,62.9495301,16.32523541,0.22821898,,125
8/1/1923,62.17710153,16.24346227,0.597749456,,84.7
9/1/1923,58.62848134,13.16605393,2.486614813,,75
10/1/1923,47.86109254,7.682929259,1.549906564,,83.6
11/1/1923,44.63427241,6.817043617,0.85971324,,78.7
12/1/1923,33.8608097,3.548053517,2.256472488,,91.7
1/1/1924,32,3.816713664,3.039527481,,107
2/1/1924,40.997199,5.250913169,5.193486434,,298
3/1/1924,36.19063792,4.108923509,2.496644159,,122
4/1/1924,46.37099585,8.07730368,0.839226929,,168
5/1/1924,56.39717701,12.97361242,0.05296264,,101
6/1/1924,58.57595162,14.11922678,0.142216946,,63.9
7/1/1924,64.1021689,18.21737715,0.000742684,,62.7
8/1/1924,61.62085441,17.13721727,0.163413968,,63.1
9/1/1924,58.34000761,15.19844251,0.34284833,,55.6
10/1/1924,45.24890758,6.484854593,5.221092003,,77.6
11/1/1924,40.06570531,5.039538317,3.662908646,,137
12/1/1924,32,2.932612992,5.973381794,,140
1/1/1925,33.29680455,2.993215707,2.36293339,,155
2/1/1925,37.16902684,3.309409467,11.89471398,,754
3/1/1925,40.55578248,5.622165505,3.416028926,,378
4/1/1925,44.65789752,5.921422922,3.934666576,,534
5/1/1925,50.54140223,7.709119615,2.022037766,,422
6/1/1925,57.89360099,12.11248005,1.462214127,,192
7/1/1925,65.83875548,17.64800588,0.226175359,,113
8/1/1925,60.87593707,14.88957761,0.859669216,,92.8
9/1/1925,51.60761327,9.471773773,2.293588663,,80.3
10/1/1925,46.98278941,8.117005942,1.793186557,,89.3
11/1/1925,38.67250371,4.436460692,3.730952487,,115
12/1/1925,37.59149368,4.238458209,2.534530681,,139
1/1/1926,33.34664733,3.636318926,6.008395661,,156
2/1/1926,36.43758999,3.226710522,10.63589169,,619
