Year,WYT
1906,W
1907,W
1908,BN
1909,W
1910,W
1911,W
1912,BN
1913,D
1914,W
1915,W
1916,W
1917,AN
1918,C
1919,BN
1920,C
1921,AN
1922,AN
1923,BN
1924,C
1925,D
1926,D
1927,W
1928,AN
1929,C
1930,D
1931,C
1932,D
1933,C
1934,C
1935,BN
1936,BN
1937,BN
1938,W
1939,D
1940,AN
1941,W
1942,W
1943,W
1944,D
1945,BN
1946,BN
1947,D
1948,BN
1949,D
1950,BN
1951,AN
1952,W
1953,W
1954,AN
1955,D
1956,W
1957,AN
1958,W
1959,BN
1960,D
1961,D
1962,BN
1963,W
1964,D
1965,W
1966,BN
1967,W
1968,BN
1969,W
1970,W
1971,W
1972,BN
1973,AN
1974,W
1975,W
1976,C
1977,C
1978,AN
1979,BN
1980,AN
1981,D
1982,W
1983,W
1984,W
1985,D
1986,W
1987,D
1988,C
1989,D
1990,C
1991,C
1992,C
1993,AN
1994,C
1995,W
1996,W
1997,W
1998,W
1999,W
2000,AN
2001,D
2002,D
2003,AN
2004,BN
2005,AN
2006,W
2007,D
2008,C
2009,D
2010,BN
2011,W
2012,BN
2013,D
2014,C
2015,C
2016,BN
2017,W
2018,BN
2019,W
2020,D
2021,C
2022,C
2023,W
