Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
1923,294.35376,209.80847,369.16998,632.34424,466.94907,220.82596,119.743416,83.31015,70.766525
1924,108.36058,293.43164,113.504654,173.27179,99.29621,55.84106,58.44517,58.028343,54.11555
1925,152.87746,683.74945,379.61035,518.1655,402.14136,189.1152,111.17416,86.13667,71.45042
1926,150.39554,561.552,391.1157,841.41455,332.90173,140.82123,97.0728,79.80721,70.99167
1927,366.81573,1253.934,782.23584,946.2809,763.89813,392.3295,165.69672,111.423386,87.457825
1928,228.42047,362.6243,1378.2417,705.008,432.83698,163.38022,114.98927,91.11669,71.91276
1929,127.16022,178.79526,279.10413,293.2426,345.74625,164.16983,92.86961,68.675674,60.42383
1930,313.38815,389.88858,584.3599,614.22766,438.1346,199.86255,110.52622,82.463326,68.21379
1931,153.2702,168.87845,300.64023,252.67941,171.08365,103.75729,69.330154,58.837833,54.426147
1932,217.94888,207.07092,529.5388,576.56934,638.5431,305.54678,120.26392,82.53161,69.05622
1933,146.61346,114.07137,278.6043,359.29852,380.93176,280.8837,103.62065,69.6754,62.057934
1934,267.76746,303.44525,356.97617,271.88132,165.95992,99.51675,68.795074,63.81018,55.333233
1935,264.17413,236.07764,341.56107,1334.2662,937.0754,384.3101,144.71942,89.23053,80.190384
1936,656.9747,937.5678,600.6802,740.2392,542.9367,290.87198,136.44617,95.57631,85.27164
1937,102.36867,244.5805,488.72043,690.7602,743.3274,299.62253,127.47465,83.0807,68.38455
1938,358.42493,735.87115,1281.4498,1444.7817,1647.834,784.8366,292.09116,162.70709,109.203865
1939,146.21294,134.15552,327.71207,368.4822,216.98724,100.87175,83.34571,65.771324,59.06733
1940,642.17633,1179.6068,1414.0636,963.13464,493.93604,234.57553,130.77858,92.55977,89.90044
1941,651.66455,1123.4564,950.51404,824.4362,1018.1799,457.0888,216.80685,143.94557,119.737114
1942,798.1832,1064.7888,504.13342,1040.932,907.101,617.4645,248.70157,141.21439,116.11223
1943,869.2977,539.2208,1113.616,855.96484,523.6289,307.80716,165.51492,116.72695,102.23291
1944,156.43494,241.01984,392.10892,483.89514,589.0723,271.9106,183.49509,93.88556,75.30088
1945,212.41635,761.0085,388.21533,521.60077,613.3083,265.10684,137.0156,100.979614,85.43149
1946,468.70218,256.52768,450.09747,675.13837,559.56934,222.47302,128.15173,99.871864,83.18748
1947,119.54975,359.28555,509.1982,422.5078,209.19974,139.47064,89.367584,72.06938,63.440285
1948,384.3794,153.57219,273.03458,974.9768,878.4664,552.33344,182.36734,99.307396,91.04718
