Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
1922,437.64407,506.5331,622.7723,644.562,562.2538,428.17383,190.87521,160.68942,160.0
1923,690.85693,753.9262,803.9844,840.43945,777.0729,485.11502,353.3629,200.0,160.0
1924,161.4924,242.88611,390.71634,422.89255,323.71967,302.73938,60.0,55.0,134.16025
1925,535.4213,603.30035,675.9967,708.5303,628.1139,396.92548,207.06082,174.18378,160.0
1926,161.55917,228.58246,381.91144,414.859,319.83813,305.8971,60.0,55.0,136.97327
1927,571.1089,616.27386,704.0257,747.02826,658.58167,444.68927,269.3217,200.0,160.0
1928,479.1888,534.28784,637.4861,671.7204,585.4801,408.51883,196.28378,163.12924,160.0
1929,272.39426,335.87192,475.82382,498.33282,401.72388,331.6034,60.0,57.324818,148.54108
1930,439.18924,484.35248,599.0698,610.2179,587.7527,382.77597,169.95547,150.43898,143.72452
1931,70.0,112.63901,292.65182,322.18796,226.66101,255.72751,60.0,55.0,80.298996
1932,653.4141,717.13544,775.16364,808.2128,745.4622,477.0118,327.1272,200.0,160.0
1933,239.97534,323.32382,449.3292,481.75336,403.61188,320.85492,60.0,55.0,138.72116
1934,230.94385,282.1642,373.40628,496.9514,234.23148,227.21826,60.0,55.0,50.0
1935,463.79532,519.6337,631.3903,664.72943,569.7064,417.90564,195.82928,156.55118,160.0
1936,277.49872,345.88882,483.55533,505.02823,410.7984,354.76797,60.0,76.77289,160.0
1937,334.23962,404.05728,504.07217,547.7978,501.69876,339.69583,96.110596,99.54048,147.75195
1938,916.9118,953.6131,957.7815,1019.9225,957.27313,541.6346,370.0,200.0,160.0
1939,171.31656,239.09985,391.6412,423.7593,328.60355,314.9412,60.0,55.0,143.96097
1940,390.66473,486.29398,585.70776,622.7269,519.0065,404.01944,149.2828,141.49438,160.0
1941,730.9831,792.14777,838.8672,869.3552,824.639,513.81415,370.0,200.0,160.0
1942,735.05145,802.5641,841.279,867.1745,826.1653,507.27878,370.0,200.0,160.0
1943,513.358,562.05646,667.5207,704.11676,614.1524,443.7685,238.60379,183.71667,160.0
1944,201.61676,276.5565,424.75204,452.05658,347.61475,319.2025,60.0,55.0,139.68304
1945,548.7199,593.66516,682.01154,737.22675,634.0636,442.18127,255.90952,185.76605,160.0
1946,678.00464,712.8775,712.7389,784.72473,673.7367,355.05664,270.5596,162.98022,102.68069
1947,358.27423,424.8407,531.0926,561.164,487.45,342.7407,82.96241,108.03301,160.0
1948,315.52695,385.27255,499.4573,528.2689,446.8912,337.27066,60.0,87.44292,160.0
1949,267.25766,331.28754,477.51086,496.73352,400.77716,333.60532,60.0,55.0,130.84113
1950,303.09344,394.3375,504.70297,544.2134,451.54102,351.83533,78.99196,86.36885,160.0
1951,601.64813,630.1123,609.86774,721.7019,528.8969,250.75623,173.12875,83.707214,50.0
1952,1053.232,1104.6594,1080.0936,1135.7457,1108.2769,598.6156,370.0,200.0,160.0
1953,527.2466,554.8743,654.09595,702.6885,644.4543,434.63443,264.46603,185.58545,140.1878
1954,303.75766,366.98798,504.50815,532.69714,432.52072,352.87677,68.965195,77.69223,148.61392
1955,358.7958,420.946,552.6666,574.143,484.29352,378.67786,117.12536,105.88316,152.95491
1956,835.09406,875.23413,876.6882,890.3408,872.5196,472.08755,370.0,200.0,160.0
1957,241.1156,309.88702,446.4346,476.14972,390.29913,331.17532,60.0,64.11206,160.0
1958,696.3582,761.1611,805.33307,846.6882,771.43604,465.49207,339.49646,200.0,160.0
1959,284.7981,371.6368,473.13275,581.35315,430.16962,348.6617,126.72939,57.678673,91.713394
1960,385.2521,445.65485,534.6367,589.3243,550.93085,378.7155,152.85272,139.64453,160.0
1961,422.08905,477.74847,586.2816,622.0384,530.37134,370.05328,143.50879,129.33923,160.0
1962,315.41016,381.5913,516.5005,536.8497,439.1659,353.37442,70.87889,79.98239,159.60263
1963,770.7712,821.94617,757.8965,832.11145,761.11414,306.4769,330.3837,152.57214,65.30813
1964,322.4271,377.0127,507.14975,539.26556,447.1933,342.57593,72.51817,78.372536,137.40973
1965,663.75476,693.3993,722.9575,771.2162,693.3233,383.69748,291.99057,183.82385,106.64294
1966,373.40356,424.9008,540.19727,616.53284,482.1302,383.20126,155.01233,100.258896,102.70394
1967,639.6641,683.3935,765.94293,802.3938,730.71387,482.65213,332.0169,200.0,160.0
1968,454.01126,527.3968,627.0504,674.88403,576.30444,438.107,211.58109,170.78326,160.0
1969,673.8728,732.4376,794.82996,830.1043,768.6906,493.95963,352.4396,200.0,160.0
1970,724.5971,794.2517,833.02844,861.863,811.9042,494.94443,370.0,200.0,160.0
1971,892.09814,939.1959,955.8764,1004.9876,956.40515,557.21985,370.0,200.0,160.0
1972,451.70322,522.056,617.6237,642.0442,557.83606,403.9797,165.32568,162.05441,160.0
1973,661.0851,718.45483,775.2436,818.28894,740.08954,460.30667,320.66397,200.0,160.0
1974,962.7524,972.3139,935.5784,992.905,916.48004,437.34332,370.0,200.0,160.0
1975,347.29834,421.93704,546.3786,577.12994,479.81665,387.629,119.029854,109.19351,160.0
1976,284.63327,355.8644,474.65036,507.4808,425.999,325.58112,60.0,73.92217,160.0
1977,291.78418,386.7303,491.00598,537.8799,460.49728,359.1599,83.45937,91.598206,160.0
1978,409.37454,473.10944,597.19794,616.36017,538.7501,412.02896,167.9815,140.81097,160.0
1979,296.36118,357.0271,478.32047,518.3492,454.4345,327.81644,68.01906,68.85727,123.58186
1980,641.96954,700.0313,771.3606,808.34216,740.46326,484.8941,329.2566,200.0,160.0
1981,418.61008,501.37027,604.93274,641.0635,557.0185,430.38043,190.20004,158.54916,160.0
1982,1114.0435,1097.5585,980.5299,1053.9071,958.46173,330.23642,370.0,200.0,72.99476
1983,1160.9387,1195.8922,1152.8344,1227.802,1184.9517,606.6554,370.0,200.0,160.0
1984,799.37054,820.3371,781.54144,830.5508,734.0007,321.73697,306.59964,185.46756,88.61328
1985,337.1687,400.54565,486.76266,526.65497,483.7686,285.60333,60.0,85.81058,149.33514
1986,378.88522,440.5643,552.4776,583.46265,496.05475,362.99988,106.39083,117.23996,160.0
1987,139.99925,220.04562,370.79846,401.98563,311.10263,285.15277,60.0,55.0,116.62105
1988,419.52652,473.36597,568.9936,647.2597,545.18097,397.22708,200.0062,131.36249,113.67858
1989,286.72214,331.2225,469.8216,558.14484,359.23184,333.92328,79.57541,55.0,55.798363
1990,243.97986,312.1832,441.01712,476.3902,399.79065,312.66803,60.0,61.791832,159.20555
1991,174.9765,252.24759,396.6673,425.72675,343.38898,298.8782,60.0,55.0,115.786156
1992,271.44528,350.85498,445.75815,567.89764,350.4145,313.80347,76.69294,55.0,60.0354
1993,480.8075,536.3187,641.6752,679.3607,600.1192,447.3591,227.4187,180.57632,160.0
1994,347.08557,409.6577,544.7943,566.67487,474.31696,380.8202,109.166885,102.895996,160.0
1995,681.16425,733.8279,790.5133,835.7235,754.7258,474.98138,337.312,200.0,160.0
1996,589.42535,644.48016,710.2582,754.68524,728.9379,462.665,317.62723,200.0,160.0
1997,834.35443,873.3784,877.2797,900.15924,858.9946,463.4602,370.0,200.0,160.0
1998,529.7426,588.8397,684.9604,719.1514,633.36694,443.5312,242.2034,198.72665,160.0
1999,638.28174,693.31433,756.1546,797.1217,724.29816,458.39215,306.7388,200.0,160.0
2000,358.71918,433.27716,514.79926,640.4586,381.84555,338.61603,117.33777,76.5276,102.44776
2001,233.66455,299.24606,447.85583,471.52658,371.84094,331.3944,60.0,55.0,148.13577
2002,240.49966,274.24628,397.2331,495.9991,258.12268,268.6523,60.0,55.0,50.0
2003,626.997,675.1374,762.32416,781.92865,734.2455,481.05722,328.19708,200.0,160.0
2004,516.27313,540.9292,642.44305,691.9628,635.7664,422.6365,258.24863,174.39307,129.71342
2005,605.3771,669.9752,742.74304,774.7625,701.993,462.0497,289.92285,200.0,160.0
2006,775.1955,824.8972,868.65063,891.3609,868.4794,531.2264,370.0,200.0,160.0
2007,281.18253,346.57883,488.28488,507.7181,415.44556,338.4056,60.0,59.839138,133.51051
2008,319.7986,388.3034,524.84784,539.98956,445.6152,362.219,74.11951,88.63461,160.0
2009,420.65427,502.1828,589.2667,688.958,536.32764,406.84015,205.46384,130.78453,138.35753
2010,347.0754,415.06955,544.9533,563.6555,471.16187,371.58456,94.43935,102.97894,160.0
2011,656.1078,698.7603,717.64874,793.2109,687.6951,391.16122,289.24084,178.69778,121.30476
2012,263.48056,342.0599,477.5615,509.06497,403.20944,352.30698,60.0,65.10073,160.0
2013,275.2043,314.08353,385.65906,487.8095,280.631,203.16193,60.0,55.0,50.0
2014,163.74872,249.0935,391.5391,424.69827,334.2864,296.51968,60.0,55.0,128.91469
2015,232.55173,285.0075,401.0854,512.5534,317.88913,277.0889,60.0,55.0,50.0
2016,390.9087,449.36203,558.0886,626.99457,511.6492,402.0989,173.0596,122.92578,127.63741
2017,1123.7166,1173.5807,1137.3989,1197.3965,1174.6396,622.80237,370.0,200.0,160.0
2018,423.8923,492.58188,591.2172,659.5208,531.19806,409.79605,187.77768,141.16273,160.0
2019,471.71295,559.6954,648.68933,701.3065,600.19446,448.3916,234.63452,187.2698,160.0
2020,255.41736,326.8325,465.8159,478.16946,406.90424,318.46472,60.0,55.0,132.16333
2021,129.56189,173.3988,250.46844,410.87848,215.54135,163.89246,60.0,55.0,50.0
