Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
1922,187.09366,397.98035,414.69073,869.52295,1470.9478,689.4712,212.41757,112.749664,90.179
1923,242.03983,196.419,338.84518,565.66583,424.38718,215.40564,120.25336,80.62987,63.11435
1924,106.35497,255.14972,149.57513,201.9881,112.95912,69.188545,66.35733,60.338646,53.67601
1925,152.37749,682.09094,384.76706,518.09033,380.1995,184.55359,123.82383,89.21527,77.880745
1926,154.29486,598.98315,397.36703,808.49396,341.39554,129.55975,102.14084,73.85968,70.7717
1927,366.37762,1229.7098,796.30115,980.07166,751.94244,385.29056,177.2156,111.64068,90.38114
1928,224.49658,349.53214,1273.7297,660.5045,385.05133,160.93825,117.16786,88.517914,68.568375
1929,116.09391,177.68192,257.64044,281.03003,354.95383,170.057,94.873184,73.37321,63.834587
1930,285.5971,414.8342,601.3797,618.17834,438.45984,199.43158,113.17907,82.2861,65.09604
1931,92.81525,168.48468,300.16376,196.38864,165.61336,106.55218,74.764626,62.074753,53.688156
1932,217.16766,221.51459,453.73886,553.73444,621.6892,257.99814,122.376434,79.343506,68.87905
1933,140.51338,118.4589,275.76965,366.7193,395.04565,213.13681,107.76774,73.29985,60.362816
1934,242.12637,301.94476,370.09183,293.6157,183.44806,96.85368,86.16106,66.0157,57.40522
1935,268.30765,240.5127,421.77756,1245.7705,951.8943,389.92972,161.59628,89.65729,69.56632
1936,575.81793,788.9918,560.05475,675.1391,520.6787,251.00403,139.55266,89.879135,82.185394
1937,95.00942,281.66736,496.8232,687.05316,741.59326,307.56168,133.11514,87.69526,68.21313
1938,346.05756,716.3425,1332.2255,1452.9989,1637.8956,816.0524,294.3971,149.79767,108.4621
1939,143.85294,142.43387,321.3664,333.90286,227.4653,99.5643,83.49199,61.913513,59.8939
1940,655.7206,1175.8497,1496.4419,992.32214,508.99307,227.80179,155.3708,102.08887,96.79699
1941,615.3786,1005.3125,908.2215,792.1283,988.9984,445.51935,213.3251,131.14117,102.72097
1942,862.37836,993.50665,454.62134,981.8321,850.08606,576.0874,256.74387,143.38242,110.613976
1943,871.05524,539.5152,1089.5907,844.5706,501.69156,311.16754,176.14932,123.41319,99.659615
1944,167.537,256.68652,418.19034,510.2501,437.74536,175.23279,116.39686,84.515015,69.14874
1945,204.09064,750.5789,381.32516,513.399,602.6233,267.75955,148.9961,109.45396,78.768524
1946,448.39478,256.9203,442.49487,651.9592,564.96045,235.07266,142.30588,105.04852,81.80016
1947,125.2116,337.2364,474.66092,399.77304,240.70508,148.91992,98.45784,79.09701,71.02144
1948,370.20264,113.52584,300.60568,839.5582,768.9275,480.32486,177.45465,99.38705,84.56693
1949,126.306366,283.49,436.54987,597.63806,481.16766,193.73465,113.83008,83.86726,66.784
1950,298.27448,488.2192,520.45197,769.29315,630.4376,300.12048,144.08122,94.86653,79.47379
1951,601.18115,736.043,518.58093,606.52454,541.5079,222.3075,139.57782,94.82772,79.801796
1952,479.4235,765.6229,638.1057,1632.6979,1562.9471,766.26514,317.26486,163.00662,115.23641
1953,1123.3849,335.1076,409.2161,696.40454,752.93665,534.1578,242.35211,133.45413,115.67362
1954,315.1506,498.17157,733.1546,986.1459,529.9944,259.67737,156.29082,103.13614,82.24341
1955,164.00687,174.85828,277.91473,349.95334,497.9831,228.67719,113.21581,78.97761,66.00669
1956,1232.2896,693.4197,680.38824,864.21545,972.1374,495.44382,253.3793,139.99771,110.74778
1957,156.90247,584.2047,644.503,434.7797,580.41614,249.4617,129.05168,96.86685,83.97656
1958,369.40118,1303.2823,785.316,1092.9617,1213.913,617.63635,252.4985,152.54205,106.173164
1959,399.71887,452.61447,420.48978,439.06595,301.29602,166.42041,123.99381,91.36984,85.93325
1960,143.57187,693.65717,721.7792,490.85364,351.40317,205.68863,115.98996,79.70224,72.93004
1961,147.94879,358.65707,338.3259,369.41724,386.89545,216.32233,121.35698,87.369995,70.77248
1962,142.72711,617.3686,410.95425,853.03186,538.7563,256.972,131.9324,83.01631,73.92676
1963,369.67578,1041.2126,400.71933,1204.4506,860.33386,293.48,166.1675,100.12782,100.29277
1964,245.55356,181.43884,249.10321,417.0129,372.92484,221.65103,122.42841,81.19409,71.334236
1965,1036.132,471.85513,486.48825,933.6999,714.89966,329.08844,180.2861,138.68956,76.22328
1966,233.84024,206.47247,432.38376,637.93256,390.18097,165.1386,113.13736,89.93329,65.83883
1967,670.2625,522.7273,849.2598,591.99316,1166.211,832.40906,276.24872,129.486,92.08195
1968,313.18024,781.1511,612.6349,521.5293,415.64203,204.0459,144.38058,110.1065,83.47925
1969,1317.586,687.98,581.31396,1155.094,1228.488,611.14404,231.98877,118.32244,94.584656
1970,436.9331,581.2621,389.98245,614.78204,570.5069,333.9717,167.29526,103.511444,80.821625
1971,428.67932,713.13385,1279.2881,1221.4794,1354.6459,664.6464,257.70984,139.10172,103.71825
1972,219.88937,343.81448,321.34958,413.1045,419.61496,240.96866,129.52551,86.8633,72.29024
1973,417.3847,1005.21497,608.1276,1033.076,981.19476,495.53717,218.84528,133.33405,94.84657
1974,556.823,635.79974,782.3667,641.6084,654.52295,293.87308,154.27061,95.850746,75.59168
1975,213.51593,297.72266,621.8148,554.4208,390.46344,156.82977,117.532875,88.8305,72.57104
1976,150.1658,478.90622,459.53693,407.2926,438.70248,199.21158,122.69612,93.62597,75.65696
1977,117.61685,154.39812,390.6016,469.72134,452.22525,232.57147,118.70977,79.20747,62.862274
1978,201.48648,269.9734,415.91174,581.3979,718.6651,298.5988,134.1825,93.41246,74.81979
1979,167.56775,513.98615,540.2514,422.6514,301.49463,170.61905,109.65977,80.43178,71.20041
1980,306.2938,244.643,580.10205,615.1408,899.6534,377.77164,180.48782,106.44479,89.73168
1981,217.26428,267.5982,525.69507,512.9911,564.81964,232.34406,126.06467,91.94895,75.53931
1982,706.2145,714.16504,622.10565,589.0428,602.6395,250.24988,142.62064,93.90553,72.107895
1983,1293.7539,2451.0745,1041.3536,1384.9749,998.2253,441.1641,210.06906,122.01368,91.453865
1984,641.9306,489.58548,1269.6256,838.2881,914.08026,433.95987,201.00317,103.9829,77.75062
1985,448.32013,995.0027,760.4117,818.0212,792.1429,387.5037,171.21729,118.335236,90.1171
1986,337.3014,357.51224,717.4297,713.301,575.44073,261.4119,146.00644,88.75101,68.52753
1987,164.70392,268.55304,404.4551,405.6054,333.19116,137.51321,104.689514,79.14501,66.89806
1988,883.83026,311.44373,407.9664,626.84155,616.3893,415.6287,201.37158,119.31157,102.69957
1989,333.98785,259.17584,456.63284,607.3332,383.82816,153.93301,113.47727,86.33471,66.729095
1990,236.83505,191.01535,368.8788,329.9751,235.33875,199.40796,105.59673,73.57339,74.6667
1991,55.51456,109.79129,509.9658,411.13876,373.7352,175.794,101.30088,74.41533,50.93107
1992,115.58426,383.9481,333.33182,355.29575,189.03458,92.934456,90.88586,64.683075,59.139767
1993,578.05475,521.4492,1222.8373,859.2843,832.4445,427.8871,166.75044,106.83708,87.851074
1994,126.31709,208.44202,336.0817,325.69815,236.34003,100.47731,85.7343,66.52758,61.550995
1995,1378.7665,561.1791,2112.2747,1238.337,1562.7488,808.9751,329.16837,138.5339,95.7141
1996,390.13812,1309.8715,842.535,881.4712,976.8426,316.1895,165.22388,98.92401,92.94176
1997,2208.7498,490.12808,526.4139,510.10385,394.7482,187.63425,116.71748,99.39705,88.74071
1998,897.2259,1053.7804,860.9141,815.3052,1008.8654,873.2785,346.7326,147.5021,114.305244
1999,510.08044,889.3514,752.841,638.88165,651.95575,293.84225,145.08743,114.694176,93.18442
2000,407.1926,878.169,710.1549,677.985,466.2128,190.07764,134.99765,91.81625,82.66469
2001,138.10902,211.19241,356.77814,341.79993,261.64978,109.426254,89.42916,67.94844,62.4687
2002,458.4287,291.24506,438.74884,508.6382,340.56436,151.62161,105.20555,84.23555,63.167076
2003,641.6378,357.1286,531.7851,613.69965,755.8397,320.67743,139.39711,111.291916,80.87017
2004,293.4349,705.7495,671.00586,496.64285,395.24594,182.39029,111.76027,88.38787,71.50926
2005,270.103,297.6381,621.8989,574.554,1011.0698,385.5578,166.78595,103.68674,87.15989
2006,899.23834,697.447,1029.2015,1512.5126,1126.6943,394.65323,200.09753,123.144844,88.12456
2007,183.28589,430.74713,428.37906,331.2584,309.51782,119.52859,102.57003,84.73024,68.58082
2008,205.79288,239.54468,334.33908,360.7832,382.99762,150.18704,100.79077,73.66168,58.769955
2009,187.3544,456.34927,730.5184,425.76715,561.55493,165.97214,97.25729,79.36418,62.979233
2010,324.86743,312.45816,412.96692,582.0729,662.9071,475.85254,182.41293,93.92366,74.89709
2011,356.61954,361.68835,996.5316,1038.9375,927.1229,777.0719,307.13272,139.51259,94.96672
2012,169.14285,181.099,656.8644,678.15515,376.96436,136.7415,110.009895,86.11471,61.190056
2013,255.06482,237.28674,407.74594,361.10303,184.86224,135.77386,92.37302,73.72113,66.0691
2014,81.10297,262.1378,436.52435,303.23904,134.9563,81.38237,84.19855,69.79968,58.135834
2015,192.97195,424.04153,156.25821,145.13953,100.9699,80.00672,79.25229,66.12379,51.98073
2016,592.9811,393.4443,1383.5192,525.9602,352.7608,151.80286,84.26283,63.176544,61.420597
2017,1450.4087,2662.5383,1134.5544,1428.7192,881.9604,381.6126,193.43597,113.675575,85.27979
2018,329.14743,183.98459,865.6667,783.7475,283.45578,127.24223,106.10236,90.36247,66.38136
2019,537.54333,913.2404,1130.6101,1317.6964,925.45386,488.75656,211.16904,117.46776,106.98896
2020,237.09085,189.0162,234.23642,406.15402,305.58417,138.41728,96.58144,75.679245,58.1132
2021,142.21309,210.41016,225.18863,243.07849,164.68648,87.680374,78.569496,60.547035,53.80874
