Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
1922,192.0,421.9999999999999,433.00000000000006,933.0,1570.0,721.0,209.99999999999997,119.00000000000004,89.40000000000002
1923,308.99999999999994,205.99999999999997,362.00000000000006,651.0000000000001,482.00000000000006,230.0,125.00000000000004,84.70000000000005,75.00000000000001
1924,107.0,298.0,122.00000000000004,168.00000000000003,101.0,63.90000000000002,62.70000000000003,63.10000000000001,55.60000000000002
1925,155.00000000000006,754.0000000000001,378.00000000000006,533.9999999999999,421.9999999999999,192.0,113.00000000000004,92.79999999999998,80.30000000000001
1926,156.00000000000006,618.9999999999999,408.0,862.0000000000001,324.00000000000006,139.0,94.4,78.10000000000002,74.00000000000001
1927,369.00000000000006,1269.9999999999998,782.0000000000001,931.0,750.0000000000001,382.0,164.00000000000003,108.0,86.10000000000002
1928,229.0,365.00000000000006,1410.0,727.0,440.00000000000006,163.00000000000006,118.00000000000004,86.80000000000001,72.29999999999998
1929,101.0,185.0,259.00000000000006,268.0,350.00000000000006,177.0,91.20000000000002,66.4,62.3
1930,326.00000000000006,419.9999999999999,617.9999999999999,650.0000000000001,452.0000000000001,208.99999999999997,115.00000000000004,85.0,70.20000000000002
1931,148.00000000000009,145.99999999999997,280.0,202.0,142.99999999999997,88.70000000000003,68.4,57.80000000000001,52.50000000000001
1932,237.0,209.99999999999997,554.0,606.0,681.0,326.00000000000006,129.0,83.70000000000005,73.20000000000002
1933,146.99999999999997,88.90000000000002,261.00000000000006,343.0,398.0,295.0,106.0,71.29999999999998,61.70000000000003
1934,278.0,313.99999999999994,372.00000000000006,264.00000000000006,156.00000000000006,99.20000000000002,75.00000000000001,64.60000000000001,53.900000000000034
1935,276.0,240.0,347.0000000000001,1379.9999999999995,961.9999999999998,401.0,149.00000000000009,96.30000000000004,76.89999999999999
1936,663.0000000000001,943.9999999999998,601.0,719.0,520.9999999999999,278.0,130.0,93.30000000000004,81.0
1937,92.29999999999998,252.00000000000009,505.0,705.0,784.0000000000001,318.99999999999994,132.0,89.20000000000002,71.50000000000003
1938,346.0000000000001,748.0000000000001,1369.9999999999995,1500.0000000000002,1700.0000000000002,828.0,293.0,158.00000000000006,117.00000000000004
1939,143.99999999999997,130.0,328.00000000000006,364.00000000000006,194.0,109.0,81.5,67.00000000000003,62.50000000000004
1940,675.0,1220.0,1500.0000000000002,977.0000000000002,498.0,226.00000000000003,132.0,101.0,88.10000000000001
1941,686.0,1099.9999999999998,948.9999999999998,839.0,1060.0,451.0000000000001,219.00000000000003,144.99999999999997,120.00000000000004
1942,892.0,1060.0,483.0,1070.0,923.0,636.9999999999999,253.00000000000009,152.00000000000006,120.00000000000004
1943,986.0000000000002,585.0,1180.0,892.0,528.9999999999999,321.00000000000006,172.00000000000003,124.00000000000004,104.0
1944,159.00000000000006,247.00000000000009,400.0,478.00000000000006,608.0,274.0,210.99999999999997,97.50000000000004,78.30000000000001
1945,214.00000000000003,780.0000000000001,392.0,526.9999999999999,616.9999999999999,276.0,142.99999999999997,107.0,85.80000000000001
1946,483.0,250.00000000000009,460.00000000000006,673.0000000000001,569.0,228.0,135.0,106.0,86.80000000000001
1947,117.00000000000004,359.00000000000006,514.9999999999999,418.9999999999999,212.00000000000003,165.00000000000003,93.20000000000002,81.20000000000005,71.20000000000002
1948,404.0,140.0,272.0,934.0,838.0,532.9999999999999,181.0,107.0,85.80000000000001
1949,101.0,145.99999999999997,453.00000000000006,637.9999999999999,504.0,179.0,99.5,80.30000000000001,65.10000000000001
1950,333.00000000000006,568.0,557.0,834.0,698.0,317.99999999999994,138.0,98.1,79.39999999999998
1951,668.0000000000001,768.0000000000001,521.9999999999999,601.0,546.0,230.0,134.0,101.0,86.0
1952,531.9999999999999,830.0,677.0,1830.0,1690.0000000000002,820.0,336.00000000000006,176.0,128.0
1953,1259.9999999999998,352.00000000000006,443.0,737.9999999999999,793.0000000000001,619.9999999999999,254.00000000000003,142.99999999999997,120.00000000000004
1954,321.00000000000006,504.0,766.0000000000001,1020.0,559.0,241.0,144.99999999999997,108.0,96.00000000000004
1955,187.0,159.00000000000006,277.0,347.0000000000001,536.9999999999999,231.0,115.00000000000004,84.90000000000003,77.10000000000002
1956,1369.9999999999995,748.0000000000001,717.0,898.0,1060.0,512.9999999999999,261.00000000000006,141.99999999999997,120.00000000000004
1957,155.00000000000006,649.0000000000001,708.0,447.0,634.9999999999999,290.0,136.0,104.0,97.80000000000004
1958,391.9,1434.7999999999995,851.7000000000002,1145.9,1275.2999999999995,663.3999999999999,265.1,159.7,111.0
1959,417.6000000000001,459.3999999999999,427.4,435.8,301.0,159.00000000000006,118.1,89.9,88.40000000000002
1960,153.01000000000002,687.86,757.81,501.65,379.69000000000005,218.53,113.54000000000003,80.62999999999998,74.2
1961,159.95,395.83,361.26,388.16,403.01,231.73,112.72,94.18,71.52000000000002
1962,132.73,696.39,424.78,867.76,579.22,317.69000000000005,139.08,91.84,75.89000000000004
1963,389.2000000000001,1081.93,407.9,1266.9899999999998,903.42,316.53000000000003,163.80999999999997,104.47,104.43
1964,265.8999999999999,192.33,240.63000000000005,416.33,403.67,224.93000000000004,124.10000000000004,82.5,59.17000000000003
1965,1199.1,509.6000000000001,504.2,1004.5,728.4,357.9,173.4,145.70000000000002,70.42000000000002
1966,265.8,198.90000000000003,435.9,661.8,401.4,151.30000000000004,106.3,85.60000000000002,68.00000000000003
1967,748.5000000000001,559.4,879.9,609.4,1264.7999999999995,890.7000000000002,279.20000000000005,134.69999999999993,100.90000000000003
1968,319.90000000000003,796.9000000000001,583.2,465.6,378.6000000000001,186.5,130.39999999999998,114.50000000000004,79.19999999999999
1969,1635.2000000000005,732.5,600.2,1196.1,1340.7,559.5999999999999,207.8,115.79999999999998,98.30000000000004
1970,2470.5,654.1,677.8999999999999,361.00000000000006,422.80000000000007,260.8,150.6,104.59999999999997,97.30000000000004
1971,490.5,375.2000000000001,1009.4,885.1,1040.6,693.8,241.5,112.8,111.0
1972,263.8999999999999,347.80000000000007,708.2,527.2999999999998,426.6000000000001,204.7,112.40000000000003,80.90000000000003,88.60000000000001
1973,745.2000000000002,596.9000000000001,628.4999999999999,686.5999999999999,782.7,285.79999999999995,138.20000000000005,107.0,97.00000000000004
1974,1488.8199999999997,444.15,1559.47,1131.33,882.01,504.34,242.89999999999995,126.54000000000002,88.99999999999999
1975,182.11000000000007,536.0399999999998,864.1499999999999,610.5200000000001,1158.5799999999997,662.1700000000001,202.25,127.0,119.88
1976,129.67,181.46999999999997,264.92999999999995,222.22000000000008,183.79999999999995,112.98000000000005,97.80000000000004,111.23000000000005,68.52000000000004
1977,90.13,93.89,91.64,99.94,125.47,92.34,74.10000000000004,62.00000000000004,61.77000000000004
1978,1113.9799999999998,618.4600000000002,1120.09,792.1,741.89,438.35,194.31,92.45000000000002,113.21999999999996
1979,235.04,300.90000000000003,493.12,505.36,669.78,222.08000000000004,133.59000000000006,96.55000000000004,78.64999999999998
1980,1447.38,1158.06,650.4899999999999,579.8399999999999,565.1700000000001,282.35,158.49,72.13,129.81999999999996
1981,262.9100000000001,362.2300000000001,406.7300000000001,385.54,280.56000000000006,118.65,88.89000000000001,76.16,77.72
1982,654.97,1146.2899999999995,883.2799999999999,1689.18,998.5,441.83,220.92,125.89000000000004,123.41
1983,712.6,1196.4799999999998,2028.93,1024.04,1426.71,1121.7099999999998,367.9800000000001,197.33,145.97999999999996
1984,595.06,494.7699999999999,710.73,512.92,510.6400000000001,278.06000000000006,154.28000000000003,98.07000000000004,111.31
1985,157.97999999999996,239.27,328.80000000000007,559.82,290.17,131.52,101.55000000000004,83.72,99.13
1986,517.788,2677.102,1489.4380000000003,584.061,445.865,223.909,132.61,100.53600000000004,157.89899999999997
1987,171.68500000000003,312.5969999999999,582.8600000000001,298.8670000000001,190.24000000000004,107.223,79.78600000000002,73.37599999999999,64.62300000000003
1988,289.595,185.08,250.878,238.06099999999995,220.487,138.903,92.76800000000004,74.86700000000002,55.68999999999999
1989,141.536,204.879,1516.5500000000002,682.6370000000001,308.51000000000005,161.76700000000002,80.02000000000001,78.19900000000001,91.91299999999998
1990,250.37599999999992,171.719,397.661,317.70899999999995,216.607,212.01,95.47000000000004,70.97000000000001,86.066
1991,69.42899999999999,96.98900000000005,538.962,397.277,363.5950000000001,186.38500000000005,104.13400000000004,73.344,58.389
1992,100.82999999999998,385.735,342.576,370.2869999999999,171.77999999999997,96.952,86.471,65.894,55.513000000000034
1993,672.2199999999999,565.937,1361.135,950.481,905.081,520.6390000000001,166.619,107.333,93.23600000000002
1994,152.398,226.42200000000005,329.761,271.277,250.107,107.57600000000002,76.95100000000002,65.957,62.07300000000003
1995,1520.7209999999998,606.254,2282.679,1337.5309999999995,1682.166,869.994,353.75900000000007,153.15500000000003,105.28300000000004
1996,460.2229999999999,1279.219,857.386,882.222,1018.2029999999996,337.3210000000001,170.33000000000004,110.92000000000002,103.962
1997,2539.49,530.446,532.0580000000001,496.537,325.351,187.088,116.11,100.942,91.79100000000004
1998,970.336,1116.9799999999998,981.2049999999998,886.443,1081.9409999999996,976.941,369.715,161.16100000000006,125.966
1999,567.8440000000002,952.118,810.5909999999999,682.7219999999999,694.6379999999999,319.434,145.83900000000008,116.811,100.15300000000002
2000,432.2819999999999,978.003,761.355,698.406,488.0780000000001,207.80599999999995,131.31700000000004,93.92000000000002,82.16599999999998
2001,137.807,211.54400000000004,396.483,338.608,296.999,107.05700000000004,85.965,70.95800000000001,65.44800000000002
2002,492.404,304.05799999999994,446.205,506.2829999999999,341.31700000000006,160.623,95.02600000000004,74.98300000000003,64.38700000000003
2003,742.8300000000002,369.9010000000001,568.627,638.715,839.3160000000001,347.487,135.459,116.945,84.18600000000004
2004,322.91,782.76,723.6270000000001,518.7819999999999,405.152,191.5130000000001,109.11200000000002,92.305,75.18500000000003
2005,299.21200000000005,326.2440000000001,684.203,597.63,1116.446,393.379,171.73800000000003,111.526,98.98900000000005
2006,1023.428,724.7340000000002,1133.0939999999998,1706.1640000000002,1206.2689999999998,421.7900000000001,193.055,126.88600000000004,94.261
2007,181.02,466.97,441.136,309.5009999999999,225.479,109.61400000000005,114.32,93.192,80.06000000000002
2008,228.5010000000001,238.78699999999995,363.686,357.865,417.72100000000006,144.68099999999998,88.451,65.67700000000005,52.00000000000001
2009,171.945,476.039,777.3519999999999,409.575,606.691,176.12599999999998,85.31100000000004,77.83600000000003,61.29
2010,347.656,314.85100000000006,437.679,618.0190000000001,682.922,548.805,180.96,93.70800000000004,79.94100000000002
2011,361.51,372.83,1111.087,1165.022,983.3060000000002,906.048,351.455,147.17600000000002,104.03600000000002
2012,186.68700000000004,156.09000000000003,679.953,693.6389999999999,399.459,150.46000000000006,113.28300000000002,89.81500000000003,62.759000000000015
2013,270.653,233.838,415.3260000000001,350.77899999999994,174.83299999999997,138.12,91.93400000000004,77.78800000000001,70.029
2014,78.373,257.511,460.912,289.83,125.93800000000002,79.84200000000001,73.07900000000001,68.096,56.60400000000002
2015,177.863,442.11,157.10500000000005,121.39500000000004,97.14500000000002,84.953,74.819,66.16400000000002,56.331000000000046
2016,677.388,433.8730000000001,1511.1400000000003,542.782,355.825,155.11300000000006,82.81300000000005,68.94700000000005,66.32
2017,1598.171,2919.938,1215.983,1513.3659999999998,939.669,406.9380000000001,196.8350000000001,127.682,95.386
2018,338.084,180.75600000000009,877.641,791.413,273.881,143.055,103.50500000000004,95.588,73.46000000000001
2019,560.463,957.4039999999998,1172.5859999999998,1336.249,905.4400000000002,469.285,199.394,125.101,110.137
2020,257.164,180.254,215.46000000000004,406.839,295.12500000000006,139.108,94.88900000000004,77.756,61.779000000000025
2021,142.78900000000002,201.632,213.78200000000004,219.595,136.858,88.61900000000003,70.112,56.391000000000005,56.28099999999998
